iter;dataset;cls;method;param;value;score
2;bpic2015_4_f2_exp_prefix_new_3;xgboost;single_index;colsample_bytree;0.7088515836309661;0.5899381569141152
2;bpic2015_4_f2_exp_prefix_new_3;xgboost;single_index;learning_rate;0.22195141542428032;0.5899381569141152
2;bpic2015_4_f2_exp_prefix_new_3;xgboost;single_index;max_depth;19;0.5899381569141152
2;bpic2015_4_f2_exp_prefix_new_3;xgboost;single_index;min_child_weight;2;0.5899381569141152
2;bpic2015_4_f2_exp_prefix_new_3;xgboost;single_index;subsample;0.5794212129326727;0.5899381569141152
2;bpic2015_4_f2_exp_prefix_new_3;xgboost;single_index;processing_time;177.07598567008972;0
