iter;dataset;cls;method;param;value;score
2;bpic2015_2_f2_exp_prefix_new_5;xgboost;single_index;colsample_bytree;0.9326676408055554;0.8361646408799602
2;bpic2015_2_f2_exp_prefix_new_5;xgboost;single_index;learning_rate;0.11061470016297259;0.8361646408799602
2;bpic2015_2_f2_exp_prefix_new_5;xgboost;single_index;max_depth;27;0.8361646408799602
2;bpic2015_2_f2_exp_prefix_new_5;xgboost;single_index;min_child_weight;1;0.8361646408799602
2;bpic2015_2_f2_exp_prefix_new_5;xgboost;single_index;subsample;0.6386552029276811;0.8361646408799602
2;bpic2015_2_f2_exp_prefix_new_5;xgboost;single_index;processing_time;346.46029257774353;0
