iter;dataset;cls;method;param;value;score
2;bpic2011_f4_exp_prefix_new_3;xgboost;single_index;colsample_bytree;0.5660690274217898;0.8512170013365964
2;bpic2011_f4_exp_prefix_new_3;xgboost;single_index;learning_rate;0.1993615293856068;0.8512170013365964
2;bpic2011_f4_exp_prefix_new_3;xgboost;single_index;max_depth;21;0.8512170013365964
2;bpic2011_f4_exp_prefix_new_3;xgboost;single_index;min_child_weight;2;0.8512170013365964
2;bpic2011_f4_exp_prefix_new_3;xgboost;single_index;subsample;0.647241271472114;0.8512170013365964
2;bpic2011_f4_exp_prefix_new_3;xgboost;single_index;processing_time;427.1367256641388;0
