iter;dataset;cls;method;param;value;score
2;bpic2011_f2_exp_prefix_new_5;xgboost;single_index;colsample_bytree;0.9004753292732345;0.8596390157718469
2;bpic2011_f2_exp_prefix_new_5;xgboost;single_index;learning_rate;0.8418855260011406;0.8596390157718469
2;bpic2011_f2_exp_prefix_new_5;xgboost;single_index;max_depth;22;0.8596390157718469
2;bpic2011_f2_exp_prefix_new_5;xgboost;single_index;min_child_weight;2;0.8596390157718469
2;bpic2011_f2_exp_prefix_new_5;xgboost;single_index;subsample;0.6825848045251857;0.8596390157718469
2;bpic2011_f2_exp_prefix_new_5;xgboost;single_index;processing_time;404.9594819545746;0
