iter;dataset;cls;method;param;value;score
2;bpic2011_f4_exp_prefix_new_5;xgboost;single_index;colsample_bytree;0.5927664018191856;0.7893688806156393
2;bpic2011_f4_exp_prefix_new_5;xgboost;single_index;learning_rate;0.576199093147127;0.7893688806156393
2;bpic2011_f4_exp_prefix_new_5;xgboost;single_index;max_depth;10;0.7893688806156393
2;bpic2011_f4_exp_prefix_new_5;xgboost;single_index;min_child_weight;5;0.7893688806156393
2;bpic2011_f4_exp_prefix_new_5;xgboost;single_index;subsample;0.6417845807419071;0.7893688806156393
2;bpic2011_f4_exp_prefix_new_5;xgboost;single_index;processing_time;317.42781233787537;0
