iter;dataset;cls;method;param;value;score
2;bpic2011_f3_exp_prefix_new_2;xgboost;single_index;colsample_bytree;0.9367114981215853;0.8579664587467942
2;bpic2011_f3_exp_prefix_new_2;xgboost;single_index;learning_rate;0.009229760525345077;0.8579664587467942
2;bpic2011_f3_exp_prefix_new_2;xgboost;single_index;max_depth;14;0.8579664587467942
2;bpic2011_f3_exp_prefix_new_2;xgboost;single_index;min_child_weight;3;0.8579664587467942
2;bpic2011_f3_exp_prefix_new_2;xgboost;single_index;subsample;0.7963619491648426;0.8579664587467942
2;bpic2011_f3_exp_prefix_new_2;xgboost;single_index;processing_time;1241.8008434772491;0
